#clock speed (MHz),Performance,,,Utilization - CXP,,,,,,ML Performance,,"ML Performance (row < 54, no suspiciously narrow/wide)",,"AggreGATOR stats (image prediction = mean(row predictions + offset), tossing out nonsensical rows)",,
#250,throughput,latency (cycles),latency (ns),# Nodes,LUT,DSP,RAMB18,RAMB36,Reg,MSE,MAE,MSE,MAE,MSE,MAE,Avg Variance for Image
NN_{64}RELU,,39,156,,24.46%,195.88%,0.00%,0.00%,16.62%,8228,27.9,379,8.8,85.28,2.84,452375.65
NN_{64}Leaky,,45,180,,26.91%,217.76%,0.00%,0.00%,18.47%,8785,29.3,436,9.9,19090.68,90.97,392703.63
NN_{32}_{32}RELU,,56,224,,56.86%,456.35%,0.00%,0.00%,38.65%,7320,24.6,335,10.6,114.36,6.56,454259.43
NN_{32}_{32}Leaky,,68,272,,60.91%,479.65%,0.00%,0.00%,41.49%,8807,32.1,330,9.,69.66,3.43,455108.25
NN_{16}_{16}RELU,,54,216,,17.87%,139.06%,0.00%,0.00%,12.20%,8498,27.7,304,9.7,,,
NN_{16}_{16}Leaky,,61,244,,17.93%,151.41%,0.00%,0.00%,12.31%,8433,30.7,394,10.5,,,
NN_{8--8}RELU,,52,208,,6.27%,47.65%,0.00%,0.00%,4.30%,8849,29.1,396,10.8,,,
NN_{8--8}Leaky,,,,,,,,,,,,1215,11.7,,,
NN_{4--4}RELU,,46,184,,2.26%,17.65%,0.00%,0.00%,1.57%,11016,37.5,775,15.2,,,
NN_{4--4}Leaky,,,,,,,,,,,,1962,17.4,,,
NN_{16--4}RELU,,52,208,,8.58%,66.71%,0.00%,0.00%,5.85%,9367,28.2,579,10.5,,,
NN_{16--4}Leaky,,,,,,,,,,,,679,10.8,,,
NN_{8--4}RELU,,51,204,,4.57%,34.59%,0.00%,0.00%,3.12%,9455,37.1,386,11.8,,,
NN_{8--4}Leaky,,,,,,,,,,,,1102,12.1,,,
XGBoost_{10--5},,8,32,,0.60%,0.00%,0.00%,0.00%,0.47%,12812,54.6,1419,25.7,,,
XGBoost_{20--5},,9,36,,1.22%,0.00%,0.00%,0.00%,0.87%,10106,48.7,870,16.9,,,
XGBoost_{25--5},,9,36,,1.53%,0.00%,0.00%,0.00%,1.06%,9449,47.7,756,15.,,,
XGBoost_{10--6},,8,32,,0.98%,0.00%,0.00%,0.00%,0.75%,11720,49.7,890,17.8,,,
XGBoost_{20--6},,9,36,,2.01%,0.00%,0.00%,0.00%,1.44%,9084,44.6,589,13.5,,,
XGBoost_{40--4},,9,36,,1.38%,0.00%,0.00%,0.00%,0.98%,9045,45.9,896,17.8,,,
XGBoost_{64--4},,9,36,,2.16%,0.00%,0.00%,0.00%,1.52%,7513,40.4,599,13.8,,,
XGBoost_{96--4},,10,40,,3.28%,0.00%,0.00%,0.00%,2.24%,6771,38.8,470,12.2,,,
XGBoost_{128--4},,10,40,,4.47%,0.00%,0.00%,0.00%,2.94%,6150,36.5,375,10.5,,,
XGBoost_{128--3},,10,40,,2.92%,0.00%,0.00%,0.00%,2.08%,8234,42.4,686,15.6,,,
Simplex_{4--2},,25,100,,0.58%,1.76%,0.00%,0.00%,0.36%,-,-,-,-,,,
Simplex_{8--2},,25,100,,0.63%,1.76%,0.00%,0.00%,0.41%,-,-,-,-,,,
Simplex_{16--2},,25,100,,0.81%,1.76%,0.00%,0.00%,0.55%,-,-,-,-,,,
Simplex_{4--3},,25,100,,0.67%,1.76%,0.00%,0.00%,0.40%,-,-,-,-,,,
Simplex_{4--4},,25,100,,0.68%,1.76%,0.00%,0.00%,0.42%,-,-,-,-,,,
Simplex_{4--5},,25,100,,1.20%,1.76%,0.00%,0.00%,0.68%,-,-,-,-,,,
Simplex_{8--3},,25,100,,0.71%,1.76%,0.00%,0.00%,0.46%,-,-,-,-,,,
Simplex_{8--4},,25,100,,0.91%,1.76%,0.00%,0.00%,0.55%,-,-,-,-,,,
Hypercube_{4--2},,23,92,,0.98%,11.29%,0.00%,0.00%,0.87%,54499,195.2,,,,,
Hypercube_{8--2},,23,92,,1.03%,11.29%,0.00%,0.00%,0.93%,71736,218.8,,,,,
Hypercube_{16--2},,23,92,,1.20%,11.29%,0.00%,0.00%,1.06%,75166,204.3,44672,174.9,,,
Hypercube_{4--3},,23,92,,1.22%,11.29%,0.00%,0.00%,1.02%,15966,54.5,,,,,
Hypercube_{4--4},,23,92,,1.08%,11.29%,0.00%,0.00%,1.01%,14024,44.2,,,,,
Hypercube_{4--5},,23,92,,3.06%,11.29%,0.00%,0.00%,2.32%,12844,39.3,19563,51.6,,,
Hypercube_{8--3},,23,92,,1.30%,11.29%,0.00%,0.00%,1.08%,19563,51.6,6437,68.8,,,
Hypercube_{8--4},,23,92,,1.16%,11.29%,0.00%,0.00%,1.11%,16430,60.6,42860,169.3,,,
Polyfit_2,,13,52,,0.26%,2.12%,0.00%,0.00%,0.18%,25017,67.6,1915,25.2,19623.42,61.49,459126.06
Polyfit_3,,26,104,,0.41%,3.53%,0.00%,0.00%,0.33%,24566,65.5,1842,24.,20916.97,62.12,455321.53
Polyfit_4,,32,128,,0.59%,4.94%,0.00%,0.00%,0.45%,24522,65.6,1841,24.,15234.12,59.52,460558.03
#AggreGATOR,,58,232,,,,,,,,,,,,,
#Preprocessing 4x,,33,132,-,10.26%,55.00%,0.00%,0.00%,7.54%,-,-,-,-,,,
